iter	RMSE
0	13.66989276
1	13.22798152
2	12.77562297
3	12.38829672
4	12.00000888
5	11.64931152
6	11.27868249
7	10.90880036
8	10.54447946
9	10.20825405
10	9.900361436
11	9.592266037
12	9.288232416
13	8.996103324
14	8.717736026
15	8.449236958
16	8.17053468
17	7.91911533
18	7.695872734
19	7.439322345
20	7.21773326
21	7.012839536
22	6.79834176
23	6.592168803
24	6.392322895
25	6.200157628
26	6.025612002
27	5.829768138
28	5.654203291
29	5.492429197
30	5.315921827
31	5.158520701
32	5.014804467
33	4.865366993
34	4.737582411
35	4.590440729
36	4.447235025
37	4.323524367
38	4.195055793
39	4.061980859
40	3.943237929
41	3.839609948
42	3.733284159
43	3.630373074
44	3.52279162
45	3.423430477
46	3.331904863
47	3.229837972
48	3.138512967
49	3.047190021
50	2.957846978
51	2.874788865
52	2.797596614
53	2.726902755
54	2.651778714
55	2.580992081
56	2.5112083
57	2.447297822
58	2.379585283
59	2.317678468
60	2.254696238
61	2.200600159
62	2.144553472
63	2.090178957
64	2.037649022
65	1.990465675
66	1.939398436
67	1.895016688
68	1.852946667
69	1.806589999
70	1.764456013
71	1.71830921
72	1.678673194
73	1.638578967
74	1.59819337
75	1.559901908
76	1.522062535
77	1.488533077
78	1.454869726
79	1.422789188
80	1.390946973
81	1.359149228
82	1.328720177
83	1.299479443
84	1.269936895
85	1.241374215
86	1.217141023
87	1.189890516
88	1.166048176
89	1.14501487
90	1.123721844
91	1.099741621
92	1.076319629
93	1.053905861
94	1.034054175
95	1.014117152
96	0.9942864305
97	0.9763039979
98	0.9613933489
99	0.9467000496
100	0.9294516718
101	0.9154492894
102	0.8988735106
103	0.883228477
104	0.8693743093
105	0.8544788811
106	0.8404371955
107	0.8265576866
108	0.8144803279
109	0.8019603711
110	0.7903603447
111	0.7790739496
112	0.7681999291
113	0.7586352944
114	0.7484623992
115	0.7381648605
116	0.7298306521
117	0.7211246251
118	0.7119101088
119	0.7032273537
120	0.6960335073
121	0.687884555
122	0.6790744787
123	0.6717980731
124	0.6649541039
125	0.6598405833
126	0.6526209205
127	0.6453945768
128	0.6385980051
129	0.631866945
130	0.6255786908
131	0.6194903102
132	0.6149291316
133	0.6088581295
134	0.6025277444
135	0.5970238143
136	0.5919466228
137	0.5874103738
138	0.58559288
139	0.5807814437
140	0.5760004363
141	0.5708952495
142	0.569543353
143	0.5649286873
144	0.5615816997
145	0.5592913767
146	0.5550826873
147	0.5536241258
148	0.5522790834
149	0.5484133179
150	0.5448135083
151	0.5435232163
152	0.539445823
153	0.5381784276
154	0.5343080693
155	0.531670165
156	0.5292342198
157	0.5260325743
158	0.5244651768
159	0.5224511117
160	0.5215969403
161	0.5206304288
162	0.517670061
163	0.5166138301
164	0.5144725244
165	0.5135034647
166	0.5105486218
167	0.5077824905
168	0.5058417547
169	0.5033343149
170	0.5004114464
171	0.4995946159
172	0.4975270254
173	0.4966375202
174	0.4957584876
175	0.4934102263
176	0.4911773191
177	0.490296803
178	0.4871856809
179	0.4857306581
180	0.4849980398
181	0.481699069
182	0.4808952596
183	0.4795519602
184	0.478758663
185	0.4775450945
186	0.4764834973
187	0.472987748
188	0.4721758543
189	0.4714996252
190	0.470817663
191	0.4679149585
192	0.4672636819
193	0.4642426669
194	0.4634947975
195	0.4629390352
196	0.4623585091
197	0.4616944237
198	0.461168902
199	0.4606022601
200	0.4583673383
201	0.4565191522
202	0.4541072821
203	0.4535942093
204	0.4511111937
205	0.4506836155
206	0.4480591998
207	0.4474715364
208	0.4440004125
209	0.4435381722
210	0.4408831739
211	0.4398807593
212	0.4388902893
213	0.4366900937
214	0.4359166635
215	0.4355344862
216	0.4331691834
217	0.4327164727
218	0.4313908389
219	0.4309901418
220	0.4286250897
221	0.4282437793
222	0.4258534109
223	0.4234682927
224	0.4231439924
225	0.4227874737
226	0.4220819887
227	0.4196542092
228	0.4186317306
229	0.4182751506
230	0.4176283722
231	0.4172857392
232	0.4166383128
233	0.4160738996
