iter	Passed	Remaining
0	148	148345
1	151	75527
2	152	50721
3	153	38222
4	154	30717
5	155	25706
6	156	22163
7	157	19481
8	157	17394
9	158	15712
10	159	14351
11	160	13210
12	161	12256
13	162	11454
14	164	10810
15	165	10206
16	166	9643
17	167	9143
18	168	8713
19	169	8312
20	170	7945
21	171	7608
22	172	7315
23	173	7045
24	174	6794
25	175	6563
26	176	6358
27	177	6169
28	178	5979
29	179	5796
30	180	5632
31	181	5478
32	182	5337
33	182	5198
34	183	5069
35	184	4941
36	185	4820
37	186	4714
38	187	4619
39	188	4525
40	189	4429
41	190	4345
42	192	4281
43	194	4225
44	195	4143
45	195	4062
46	196	3986
47	197	3915
48	198	3845
49	198	3777
50	199	3714
51	200	3651
52	201	3591
53	201	3533
54	202	3477
55	203	3424
56	203	3374
57	204	3328
58	205	3285
59	207	3245
60	207	3201
61	208	3160
62	209	3119
63	210	3079
64	211	3040
65	212	3000
66	212	2963
67	213	2927
68	214	2893
69	215	2859
70	216	2827
71	216	2793
72	217	2766
73	218	2737
74	219	2707
75	220	2678
76	221	2653
77	222	2625
78	222	2598
79	223	2571
80	224	2544
81	224	2518
82	225	2491
83	226	2466
84	226	2441
85	227	2417
86	228	2393
87	228	2370
88	229	2348
89	230	2326
90	230	2305
91	231	2285
92	232	2264
93	232	2244
94	233	2223
95	234	2204
96	235	2188
97	235	2172
98	236	2153
99	237	2136
100	238	2119
101	238	2102
102	239	2084
103	240	2067
104	240	2052
105	241	2036
106	242	2022
107	243	2007
108	243	1992
109	244	1977
110	245	1962
111	245	1948
112	246	1934
113	247	1920
114	247	1906
115	248	1893
116	249	1879
117	249	1866
118	250	1854
119	251	1843
120	252	1831
121	252	1819
122	253	1806
123	254	1794
124	254	1782
125	255	1770
126	255	1759
127	256	1748
128	257	1739
129	258	1728
130	258	1716
131	259	1705
132	259	1694
133	260	1683
134	261	1672
135	261	1662
136	262	1651
137	262	1641
138	263	1631
139	263	1621
140	264	1611
141	265	1602
142	265	1592
143	266	1584
144	267	1575
145	267	1565
146	268	1556
147	268	1547
148	269	1538
149	269	1529
150	270	1520
151	270	1511
152	271	1502
153	271	1494
154	272	1485
155	273	1477
156	273	1469
157	274	1461
158	274	1453
159	275	1445
160	275	1436
161	276	1427
162	276	1420
163	276	1412
164	277	1404
165	277	1396
166	278	1389
167	279	1382
168	279	1375
169	280	1368
170	281	1364
171	281	1357
172	282	1350
173	282	1343
174	283	1336
175	284	1330
176	284	1323
177	285	1317
178	285	1310
179	286	1304
180	286	1297
181	287	1291
182	287	1285
183	288	1279
184	288	1272
185	289	1266
186	289	1260
187	290	1254
188	290	1248
189	291	1242
190	292	1237
191	292	1231
192	292	1224
193	293	1219
194	293	1212
195	294	1206
196	294	1199
197	295	1194
198	295	1189
199	296	1184
200	297	1181
201	297	1176
202	298	1171
203	299	1167
204	300	1163
205	300	1158
206	301	1153
207	301	1148
208	302	1144
209	302	1138
210	303	1134
211	303	1129
212	304	1124
213	304	1119
214	305	1114
215	305	1108
216	306	1104
217	306	1098
218	306	1094
219	307	1089
220	307	1084
221	308	1079
222	308	1075
223	309	1071
224	309	1066
225	309	1061
